word,frequency
mandat,443
mandatar,217
sastav,148
nađetati,32
prevesti,34
privremen,55
prelazan,114
glupost,61
izglasati,72
slobodno,176
stvarati,161
anatomija,1
mržnja,154
davno,41
nekoliko,703
navesti,272
zaključiti,114
jučerašnji,56
primer,441
desiti,736
grad,838
živeti,1099
zgrada,224
šest,370
stan,455
aktivist,95
čudni,5
ispisivati,4
parol,19
pedera,2
vrata,142
slušajat,16
smejanje,2
nipodaštavanje,7
oderiti,1
zanoktica,2
zvati,397
žaliti,49
kmečiti,2
kukati,27
funkcioner,98
simpatizer,12
ispisati,5
policija,374
izvršiti,156
uviđaj,3
uskoro,80
saznati,55
verovati,851
nacista,23
trideseti,1
prošli,452
jevrejski,7
radnja,79
kuća,292
podržavati,386
upozoravati,56
čitav,319
javnost,338
posebno,514
nadležan,228
organa,81
zaustaviti,187
obeležavanje,15
progon,19
logor,15
holokaust,3
hvatiti,12
sprovoditi,270
građanski,108
hapšenje,45
zamisliti,198
naravno,1137
700.000,6
uhapsa,1
milojko,7
olosati,2
intelektualan,17
razvoj,996
dobacivati,230
doti,24
zapamtiti,29
duhovito,4
umesto,310
pomoći,345
jutros,69
skakući,4
sekretar,93
radi,191
ambulant,20
dobt,13
dobacivanje,54
ološu,2
govor,222
divni,13
fašist,10
podrazumevati,155
učiti,98
nacisti,1
neonacista,3
razumeti,730
odlično,83
drago,161
neuki,5
naučiti,159
razlika,404
fašista,3
vikipedija,1
ukucati,9
mrzeti,42
nasilje,586
ulica,355
proganjati,13
kampanja,228
uznemiravanje,14
verovatan,31
odvođenje,2
nepoznat,20
pravac,140
film,40
mislitati,253
svestan,191
nesvesno,3
dovlačiti,11
stotina,156
hiljada,808
iživljavati,5
upozoriti,57
ćetiti,176
moogo,4
napasti,77
sećati,133
skidanje,5
kravati,3
batrganje,1
brutalno,24
pretiti,175
šamaranje,3
priča,393
ludovanje,1
medijski,170
podrška,740
nagraditi,18
među,304
obavezno,15
emisija,91
dodeti,77
restoran,12
međusobno,43
nemojte,44
patiti,1
važnost,67
prisluškovati,5
baviti,616
glup,13
isti,1058
flajka,2
vinjaka,9
idemiti,141
haos,70
nigde,145
uboga,2
zapamti,5
smatrati,696
ponoviti,258
sediti,316
zajedno,965
mozak,55
procesuirati,35
procesirati,6
kažeti,1
umeti,59
dobaciti,21
spržen,2
očigledan,88
rekla,11
vinjak,14
očigledno,255
problem,1436
divljanje,22
pretvoriti,85
fabrika,269
širok,115
porodica,895
bukvalno,79
napad,256
sprdnja,5
doživeti,104
strašniji,3
savet,431
bezbednost,337
zasedati,8
društvo,718
dostojanstvo,228
odgovor,643
arlaučiti,5
razgovarati,615
funkcionisati,161
unapred,65
seksualan,23
opredeljenje,67
zavrediti,1
opet,409
izgovarati,41
drugačije,96
izvesti,61
sviđati,71
samostalan,68
donošenje,143
treći,384
svetski,286
četvrti,197
industrijski,112
revolucija,154
situacija,684
svet,872
zapad,105
istok,61
prag,11
sukob,136
istorija,420
pamti,15
unutar,66
sakriti,61
nesposobnost,19
neznanje,48
trpeti,89
talac,7
izazivati,56
alternativ,34
vrećati,67
odgovornost,406
nikad,231
spolji,30
ogroman,286
